Image Filename,Center RGB R,Center RGB G,Center RGB B,Mean RGB R,Mean RGB G,Mean RGB B,StdDev RGB R,StdDev RGB G,StdDev RGB B,Mode
20230207.png,7,23,39,7.6,22.6,39.0,1.2,0.7999999999999997,0.0,1
20230207.png,10,21,39,10.08,21.08,39.08,0.39191835884530857,0.3919183588453085,0.3919183588453085,1
20230207.png,7,23,39,7.0,23.0,39.0,0.0,0.0,0.0,1
20230207.png,7,23,39,7.0,23.0,39.0,0.0,0.0,0.0,1
20230207.png,8,20,34,9.16,21.0,36.12,1.641462762294655,1.4142135623730951,3.5476189197826757,1
20230207.png,18,28,37,20.12,30.32,39.36,6.263034408335947,6.943889400040873,3.5875339719645862,1
20230207.png,29,31,46,22.24,24.64,39.64,3.849987012965109,3.7723202409127463,3.7723202409127463,1
20230217.png,10,22,38,10.04,21.84,37.44,0.9156418513807678,1.0071742649611337,1.4718695594379276,1
20230217.png,13,23,35,14.52,24.52,36.52,2.515869630962621,2.515869630962621,2.515869630962623,1
20230217.png,15,32,26,20.76,35.08,37.08,11.679999999999998,11.596275264066474,7.2217449414944035,1
20230217.png,10,22,36,9.52,21.96,35.6,1.7690675509996787,0.8708616422830896,1.5999999999999994,1
20230217.png,11,23,35,11.0,23.0,35.0,0.0,0.0,0.0,1
20230217.png,12,24,36,11.28,23.24,35.08,1.1838918869558992,1.4772948250095514,2.6064535292231854,1
20230217.png,11,23,37,11.0,23.0,37.0,0.0,0.0,0.0,1
20230217.png,37,50,56,26.48,39.48,45.88,8.0702911967289,8.0702911967289,7.47967913750316,1
20230311.png,15,27,39,15.0,27.0,39.0,0.0,0.0,0.0,1
20230311.png,16,27,49,13.68,25.08,42.76,2.361694307060082,2.4806450773941857,4.1596153668338145,1
20230311.png,12,27,30,11.68,25.92,33.64,1.0476640682967033,2.512687803926306,4.96290237663406,1
20230311.png,9,27,37,9.4,27.0,37.0,0.4898979485566355,0.0,0.0,1
20230311.png,11,23,37,11.0,23.0,37.0,0.0,0.0,0.0,1
20230311.png,11,23,37,11.0,23.0,37.0,0.0,0.0,0.0,1
20230311.png,11,23,37,11.0,23.0,37.0,0.0,0.0,0.0,1
20230311.png,15,27,39,15.0,27.0,39.0,0.0,0.0,0.0,1
20230311.png,17,27,36,15.36,26.24,35.24,4.426104381959377,4.264082550795657,4.438738559545944,1
20230321.png,48,60,60,47.8,60.2,60.2,0.39999999999999974,0.9797958971132711,0.9797958971132711,1
20230321.png,45,59,59,45.0,59.0,59.0,0.0,0.0,0.0,1
20230321.png,56,75,73,56.6,74.6,73.0,1.2,0.7999999999999997,0.0,1
20230406.png,17,29,43,17.0,29.0,43.0,0.0,0.0,0.0,1
20230406.png,17,29,43,17.0,29.0,43.0,0.0,0.0,0.0,1
20230406.png,17,29,43,17.0,29.0,43.0,0.0,0.0,0.0,1
20230406.png,18,30,44,18.0,30.0,44.0,0.0,0.0,0.0,1
20230406.png,17,29,43,17.16,29.16,43.16,0.36660605559646714,0.36660605559646714,0.36660605559646725,1
20230406.png,18,30,44,16.84,30.56,44.16,2.795424833544983,1.3588230201170428,0.5425863986500215,1
20230406.png,18,30,44,18.0,30.0,44.0,0.0,0.0,0.0,1
20230406.png,18,30,42,17.8,29.8,41.8,0.39999999999999997,0.39999999999999997,0.3999999999999999,1
20230406.png,22,34,48,21.72,33.8,47.4,1.3422369388450015,2.154065922853802,2.5612496949731396,1
20230406.png,7,35,39,17.04,32.32,45.56,5.936194066908527,2.5879721791394896,6.7354584105315345,1
20230422.png,32,47,52,33.88,48.08,50.36,2.8888752136428466,2.3819319889535056,4.417057844312207,1
20230422.png,31,42,46,31.0,42.0,46.0,0.8944271909999159,0.8944271909999159,0.8944271909999159,1
20230422.png,31,42,46,31.24,41.84,45.84,1.9241621553289112,1.1551623262554915,3.2333264604737946,1
20230422.png,33,44,48,32.2,42.8,49.44,0.9797958971132714,1.4696938456699067,1.9200000000000002,1
20230422.png,29,40,44,29.0,40.0,44.0,0.0,0.0,0.0,1
20230422.png,27,41,44,28.44,41.84,45.04,1.5512575543732252,0.8799999999999997,0.9991996797437437,1
20230422.png,28,41,49,27.44,40.44,48.44,0.8522910301065008,0.8522910301065008,0.8522910301065008,1
20230422.png,26,36,48,26.28,36.92,46.64,0.9600000000000001,1.6951696080333671,3.474248120097355,1
20230422.png,25,38,46,25.0,38.0,46.0,0.0,0.0,0.0,1
20230422.png,25,38,46,25.0,38.0,46.0,0.0,0.0,0.0,1
20230422.png,25,39,42,25.0,39.0,42.0,0.0,0.0,0.0,1
20230422.png,25,38,46,25.0,38.2,45.2,0.0,0.39999999999999974,1.5999999999999994,1
20230428.png,24,37,45,24.0,37.2,43.8,0.0,0.39999999999999997,2.449489742783178,1
20230428.png,22,35,43,22.0,35.0,43.0,0.0,0.0,0.0,1
20230428.png,22,35,43,22.0,35.0,43.0,0.0,0.0,0.0,1
20230428.png,24,37,45,24.2,37.4,44.32,0.39999999999999997,0.7999999999999999,1.406271666499756,1
20230428.png,27,40,48,26.6,39.6,47.6,0.7999999999999997,0.7999999999999997,0.7999999999999997,1
20230428.png,29,42,50,29.8,41.6,50.0,0.979795897113271,0.4898979485566358,0.0,1
20230428.png,34,43,48,33.72,43.16,48.88,1.0007996802557448,1.3763720427268198,2.065332902948093,1
20230428.png,34,45,49,34.0,45.0,49.0,0.0,0.0,0.0,1
20230428.png,31,41,50,31.0,41.0,50.0,0.0,0.0,0.0,1
20230428.png,31,44,52,30.6,43.6,51.6,0.7999999999999997,0.7999999999999997,0.7999999999999997,1
20230428.png,34,45,49,34.0,45.0,48.84,0.0,0.0,1.1199999999999994,1
20230428.png,32,41,50,33.28,43.04,50.6,1.9497692171126308,3.0394736386420593,6.957010852370434,1
20230428.png,33,47,50,30.96,46.56,48.24,2.6150334605889847,1.5252540771950094,5.537363993815108,1
20230508.png,29,39,51,28.88,41.32,46.12,1.3658696863171105,2.7816541841141933,6.54412713812927,1
20230508.png,27,40,48,25.08,40.52,50.6,2.3650792798551175,0.6997142273814363,3.644173431657719,1
20230508.png,27,40,48,27.0,40.0,48.0,0.0,0.0,0.0,1
20230508.png,32,45,53,32.32,45.32,53.32,1.1214276615100947,1.1214276615100947,1.1214276615100947,1
20230508.png,39,48,53,38.6,48.8,53.72,2.529822128134704,1.5999999999999999,1.1496086290559933,1
20230508.png,41,55,55,41.8,53.0,56.08,0.9797958971132714,2.449489742783178,0.9346657156438337,1
20230508.png,41,55,58,41.0,55.0,58.0,0.0,0.0,0.0,1
20230508.png,39,53,56,39.0,53.0,56.0,0.8944271909999159,0.8944271909999159,0.8944271909999159,1
20230508.png,31,42,46,35.48,48.44,50.56,6.5490151931416385,8.523285751398928,4.8255984084878,1
20230523.png,41,58,68,43.4,57.8,69.2,4.372642221815089,2.1725560982400434,2.7276363393971708,1
20230523.png,48,58,67,48.6,59.0,66.0,1.0583005244258366,1.5231546211727816,1.0583005244258363,1
20230523.png,48,58,67,47.4,57.4,66.4,1.2000000000000002,1.2000000000000002,1.1999999999999997,1
20230523.png,39,47,68,42.4,51.76,64.64,2.4331050121192876,3.1784272840510286,1.5460918472070144,1
20230523.png,40,51,55,40.0,51.0,55.0,0.0,0.0,0.0,1
20230523.png,43,53,62,43.0,53.0,62.0,0.0,0.0,0.0,1
20230623.png,52,59,65,52.0,59.0,65.0,0.0,0.0,0.0,1
20230623.png,47,58,62,47.0,58.0,62.0,0.0,0.0,0.0,1
20230623.png,48,59,63,48.0,59.0,63.0,0.0,0.0,0.0,1
20230623.png,50,61,65,50.0,61.0,65.0,0.0,0.0,0.0,1
20230623.png,54,63,62,54.4,62.4,64.8,1.3564659966250534,0.7999999999999999,3.4871191548325386,1
20230711.png,44,54,64,44.24,54.48,63.44,1.5041276541570532,2.080769088582393,2.578061287091524,1
20230711.png,45,52,62,45.0,52.0,62.0,0.0,0.0,0.0,1
20230711.png,39,46,56,39.64,46.64,56.64,0.8428523002282192,0.8428523002282192,0.8428523002282192,1
20230711.png,40,47,57,39.8,46.8,56.8,0.5656854249492379,0.5656854249492379,0.5656854249492379,1
20230711.png,36,43,53,36.0,43.0,53.0,0.0,0.0,0.0,1
20230711.png,45,52,58,45.0,52.0,58.8,0.0,0.0,1.5999999999999999,1
20230728.png,39,49,61,39.88,50.08,58.68,2.1967248348393564,2.3481056194302674,4.105800774514028,1
20230728.png,42,49,55,41.2,49.4,56.6,0.9797958971132714,0.4898979485566357,1.9595917942265422,1
20230728.png,36,43,53,36.8,43.8,53.8,1.5999999999999999,1.5999999999999999,1.5999999999999999,1
20230728.png,40,47,57,40.0,47.0,57.0,0.0,0.0,0.0,1
20230728.png,36,43,53,36.24,43.24,53.24,0.7088018058667739,0.7088018058667739,0.7088018058667739,1
20230728.png,45,52,58,44.6,51.6,57.6,1.019803902718557,1.019803902718557,1.019803902718557,1
20230802.png,47,57,67,45.12,54.32,67.4,1.9456618411224493,2.7672368890284758,3.7202150475476548,1
20230802.png,47,57,66,47.0,57.0,66.0,0.0,0.0,0.0,1
20230802.png,47,54,60,47.0,55.6,60.8,0.0,1.9595917942265424,0.9797958971132714,1
20230802.png,42,59,49,43.76,56.48,54.92,3.1148675734290854,2.2292599668948445,4.4624656861425835,1
20230802.png,47,54,60,47.0,54.0,60.0,0.0,0.0,0.0,1
20230802.png,47,54,60,47.0,54.0,60.0,0.0,0.0,0.0,1
20230802.png,41,51,60,41.0,51.0,60.0,0.0,0.0,0.0,1
20230802.png,41,51,60,40.24,50.24,59.24,0.6499230723708768,0.6499230723708768,0.6499230723708768,1
20230802.png,40,50,59,39.2,49.2,58.2,0.9797958971132716,0.9797958971132716,0.9797958971132716,1
20230802.png,45,52,58,45.0,52.0,58.0,0.0,0.0,0.0,1
20230811.png,30,40,49,29.64,39.64,49.24,0.7418894796396565,0.7418894796396565,1.1056219968868202,1
20230811.png,28,38,50,26.88,36.88,48.88,1.2749901960407386,1.2749901960407384,1.2749901960407384,1
20230811.png,31,41,50,31.0,41.0,50.0,0.0,0.0,0.0,1
20230811.png,21,31,40,21.96,31.96,40.96,2.6605262637305422,2.6605262637305422,2.6605262637305422,1
20230811.png,34,41,51,31.88,40.08,49.68,2.4383601046605072,1.0925200226998129,1.5157836257197137,1
20230811.png,40,47,57,39.2,46.2,56.12,1.624807680927192,1.624807680927192,1.7735839421916293,1
20230811.png,36,43,53,35.72,42.72,52.72,0.601331855134916,0.601331855134916,0.601331855134916,1
